APPLY migrate-images-to-r2  lang=ja era=- set=- limit=∞ conc=8 thumbW=245
  대상 카드(외부 large 보유): 13071
⚠ [migrate-images-to-r2] --allow-protected: 동결 카드팩 수정 허용됨 — sm-decks, mega-dream-ex, og-smp, sv-destined-rivals, sv-paldean-fates, sv-shrouded-fable, sv-surging-sparks, sv-triplet-beat, sv-twilight-masquerade, og-jp-mega-promo, mega-goods, mega-decks, mega-start-deck-100, og-s11, og-sm1+, og-sm10, og-sm10b, og-sm11a, og-sm11b, og-sm12, og-sm12a, og-sm1m, og-sm1s, og-sm2+, og-sm2k, og-sm2l, og-sm3+, og-sm3h, og-sm3n, og-sm4+, og-sm4a, og-sm4s, og-sm5+, og-sm5m, og-sm5s, og-sm6, og-sm6a, og-sm6b, og-sm7, og-sm7a, og-sm7b, og-sm8, og-sm8b, og-sm9, og-sm9a, og-sm9b, og-sn10a, og-sn11, sv-black-bolt-white-flare, sv-white-flare, sv-temporal-forces, sv-cyber-judge, sv-decks, sv-goods, sv-ex-start-deck, sv-start-deck-generations
  충돌분리(regionCardId) 적용 카드: 0
  [8700/13071] dl=8700 resume=0 fail=0 2179.3MB
  [8800/13071] dl=8800 resume=0 fail=0 2197.0MB
  [8900/13071] dl=8900 resume=0 fail=0 2210.4MB
  [9000/13071] dl=9000 resume=0 fail=0 2225.0MB
  [9100/13071] dl=9100 resume=0 fail=0 2236.0MB
  [9200/13071] dl=9201 resume=0 fail=0 2250.2MB
  [9300/13071] dl=9300 resume=0 fail=0 2268.7MB
  [9400/13071] dl=9400 resume=0 fail=0 2282.7MB
  [9500/13071] dl=9500 resume=0 fail=0 2299.5MB
  [9600/13071] dl=9600 resume=0 fail=0 2319.4MB
  [9700/13071] dl=9700 resume=0 fail=0 2350.8MB
  [9800/13071] dl=9800 resume=0 fail=0 2364.6MB
  [9900/13071] dl=9900 resume=0 fail=0 2389.7MB
  [10000/13071] dl=10000 resume=0 fail=0 2454.3MB
  [10100/13071] dl=10100 resume=0 fail=0 2542.0MB
  [10200/13071] dl=10200 resume=0 fail=0 2636.9MB
  [10300/13071] dl=10300 resume=0 fail=0 2735.6MB
  [10400/13071] dl=10400 resume=0 fail=0 2814.7MB
  [10500/13071] dl=10500 resume=0 fail=0 2887.9MB
  [10600/13071] dl=10600 resume=0 fail=0 2940.6MB
  [10700/13071] dl=10700 resume=0 fail=0 2967.4MB
  [10800/13071] dl=10800 resume=0 fail=0 2990.5MB
  [10900/13071] dl=10900 resume=0 fail=0 3007.5MB
  [11000/13071] dl=11001 resume=0 fail=0 3020.5MB
  [11100/13071] dl=11101 resume=0 fail=0 3044.1MB
  [11200/13071] dl=11200 resume=0 fail=0 3063.5MB
  [11300/13071] dl=11300 resume=0 fail=0 3084.8MB
  [11400/13071] dl=11400 resume=0 fail=0 3106.6MB
  [11500/13071] dl=11500 resume=0 fail=0 3137.3MB
  [11600/13071] dl=11600 resume=0 fail=0 3167.1MB
  [11700/13071] dl=11700 resume=0 fail=0 3187.8MB
  [11800/13071] dl=11800 resume=0 fail=0 3208.3MB
  [11900/13071] dl=11900 resume=0 fail=0 3228.6MB
  [12000/13071] dl=12001 resume=0 fail=0 3248.2MB
  [12100/13071] dl=12101 resume=0 fail=0 3267.8MB
  [12200/13071] dl=12200 resume=0 fail=0 3288.5MB
  [12300/13071] dl=12300 resume=0 fail=0 3310.2MB
  [12400/13071] dl=12400 resume=0 fail=0 3329.5MB
  [12500/13071] dl=12500 resume=0 fail=0 3350.7MB
  [12600/13071] dl=12601 resume=0 fail=0 3369.7MB
  [12700/13071] dl=12700 resume=0 fail=0 3386.9MB
  [12800/13071] dl=12800 resume=0 fail=0 3401.7MB
  [12900/13071] dl=12900 resume=0 fail=0 3417.1MB
  [13000/13071] dl=13000 resume=0 fail=0 3434.7MB

=== 결과 ===
  카드 13071 | 신규=13071 재개스킵=0 실패=0
  다운로드 3483.6MB (3.402GB)
