APPLY migrate-images-to-r2  lang=ko era=- set=- limit=∞ conc=6 thumbW=245
  대상 카드(외부 large 보유): 17594
⚠ [migrate-images-to-r2] --allow-protected: 동결 카드팩 수정 허용됨 — mega-brave-symphonia, mega-symphonia, mega-infernox, mega-dream-ex, mega-munikisuzero, mega-ninja-spinner, mega-goods, mega-decks, mega-start-deck-100, og-s10d, og-s10a, og-s10b, og-s10p, og-s11, og-s11a, og-s12, og-s12a, og-s9, og-s9a, og-sm1+, og-sm10, og-sn10a, og-sm10b, og-sn11, og-sm11a, og-sm11b, og-sm12, og-sm12a, og-sm1m, og-sm1s, og-sm2+, og-sm2k, og-sm2l, og-sm3+, sm-decks, og-sm3h, og-sm3n, og-sm4+, og-sm4a, og-sm4s, og-sm5+, og-sm5m, og-sm5s, og-sm6, og-sm6a, og-sm6b, og-sm7, og-sm7a, og-sm7b, og-sm8, og-sm8a, og-sm8b, og-sm9, og-sm9a, og-sm9b, og-smp2, sv-151, sv-destined-rivals, sv-black-bolt-white-flare, sv-white-flare, sv-triplet-beat, sv-paldea-evolved, sv-snow-hazard, sv-obsidian-flames, sv-raging-surf, sv-paldean-fates, sv-paradox-rift, sv-future-flash, sv-crimson-haze, sv-temporal-forces, sv-cyber-judge, sv-twilight-masquerade, sv-shrouded-fable, sv-stellar-crown, sv-paradise-dragona, sv-surging-sparks, sv-prismatic-evolutions, sv-journey-together, sv-heatwave-arena, sv-decks, sv-goods, sv-ex-start-deck, sv-start-deck-generations
  충돌분리(regionCardId) 적용 카드: 82
  [8000/17594] dl=7999 resume=0 fail=1 9170.6MB
  [8100/17594] dl=8099 resume=0 fail=1 9312.1MB
  [8200/17594] dl=8199 resume=0 fail=1 9460.1MB
  [8300/17594] dl=8299 resume=0 fail=1 9619.5MB
  [8400/17594] dl=8399 resume=0 fail=1 9777.9MB
  [8500/17594] dl=8499 resume=0 fail=1 9925.5MB
  [8600/17594] dl=8599 resume=0 fail=1 10075.2MB
  [8700/17594] dl=8699 resume=0 fail=1 10235.7MB
  [8800/17594] dl=8799 resume=0 fail=1 10396.8MB
  [8900/17594] dl=8899 resume=0 fail=1 10533.3MB
  [9000/17594] dl=8999 resume=0 fail=1 10690.3MB
  [9100/17594] dl=9099 resume=0 fail=1 10840.2MB
  [9200/17594] dl=9199 resume=0 fail=1 11001.0MB
  [9300/17594] dl=9299 resume=0 fail=1 11149.7MB
  [9400/17594] dl=9399 resume=0 fail=1 11296.7MB
  [9500/17594] dl=9499 resume=0 fail=1 11450.8MB
  [9600/17594] dl=9599 resume=0 fail=1 11599.1MB
  [9700/17594] dl=9699 resume=0 fail=1 11756.5MB
  [9800/17594] dl=9799 resume=0 fail=1 11902.3MB
  [9900/17594] dl=9899 resume=0 fail=1 12053.3MB
  [10000/17594] dl=9999 resume=0 fail=1 12205.1MB
  [10100/17594] dl=10099 resume=0 fail=1 12340.6MB
  [10200/17594] dl=10199 resume=0 fail=1 12489.9MB
  [10300/17594] dl=10299 resume=0 fail=1 12645.7MB
  [10400/17594] dl=10399 resume=0 fail=1 12787.3MB
  [10500/17594] dl=10499 resume=0 fail=1 12942.4MB
  [10600/17594] dl=10600 resume=0 fail=1 13082.8MB
  [10700/17594] dl=10699 resume=0 fail=1 13243.3MB
  [10800/17594] dl=10799 resume=0 fail=1 13392.3MB
  [10900/17594] dl=10899 resume=0 fail=1 13562.3MB
  [11000/17594] dl=10999 resume=0 fail=1 13709.3MB
  [11100/17594] dl=11099 resume=0 fail=1 13861.4MB
  [11200/17594] dl=11199 resume=0 fail=1 13983.4MB
  [11300/17594] dl=11299 resume=0 fail=1 14107.4MB
  [11400/17594] dl=11399 resume=0 fail=1 14224.0MB
  [11500/17594] dl=11499 resume=0 fail=1 14372.3MB
  [11600/17594] dl=11600 resume=0 fail=1 14507.3MB
  [11700/17594] dl=11699 resume=0 fail=1 14647.4MB
  [11800/17594] dl=11799 resume=0 fail=1 14718.1MB
  [11900/17594] dl=11899 resume=0 fail=1 14826.1MB
  [12000/17594] dl=11999 resume=0 fail=1 14982.1MB
  [12100/17594] dl=12099 resume=0 fail=1 15166.0MB
  [12200/17594] dl=12199 resume=0 fail=1 15323.4MB
  [12300/17594] dl=12299 resume=0 fail=1 15481.2MB
  [12400/17594] dl=12399 resume=0 fail=1 15649.0MB
  [12500/17594] dl=12499 resume=0 fail=1 15800.4MB
  [12600/17594] dl=12599 resume=0 fail=1 15893.5MB
  [12700/17594] dl=12699 resume=0 fail=1 16030.4MB
  [12800/17594] dl=12799 resume=0 fail=1 16194.5MB
  [12900/17594] dl=12899 resume=0 fail=1 16370.7MB
  [13000/17594] dl=12999 resume=0 fail=1 16534.3MB
  [13100/17594] dl=13099 resume=0 fail=1 16699.7MB
  [13200/17594] dl=13199 resume=0 fail=1 16866.2MB
  [13300/17594] dl=13299 resume=0 fail=1 17009.9MB
  [13400/17594] dl=13399 resume=0 fail=1 17193.3MB
  [13500/17594] dl=13499 resume=0 fail=1 17370.4MB
  [13600/17594] dl=13599 resume=0 fail=1 17538.7MB
  [13700/17594] dl=13699 resume=0 fail=1 17705.6MB
  [13800/17594] dl=13799 resume=0 fail=1 17877.8MB
  [13900/17594] dl=13899 resume=0 fail=1 18038.4MB
  [14000/17594] dl=13999 resume=0 fail=1 18204.6MB
  [14100/17594] dl=14099 resume=0 fail=1 18369.9MB
  [14200/17594] dl=14199 resume=0 fail=1 18538.2MB
  [14300/17594] dl=14299 resume=0 fail=1 18709.6MB
